Bacteria;Aliquot barcode mirna seq;Relative abundance
Actinomycetales;TCGA-BH-A0RX-01A-21R-A085-13;0.1608040201
Actinomycetales;TCGA-A8-A07R-01A-21R-A035-13;0.3291666667
Actinomycetales;TCGA-AC-A6IV-01A-12R-A33A-13;0.1373737374
Actinomycetales;TCGA-AO-A0JI-01A-21R-A057-13;0.2470588235
Actinomycetales;TCGA-A2-A3XX-01A-21R-A23A-13;0.1361702128
Actinomycetales;TCGA-C8-A1HG-01A-11R-A136-13;0.0807453416
Actinomycetales;TCGA-GI-A2C9-01A-11R-A21U-13;0.078125
Actinomycetales;TCGA-E9-A1R3-01A-31R-A14L-13;0.0571428571
Actinomycetales;TCGA-A7-A0CG-01A-11R-A038-13;0.1058020478
Actinomycetales;TCGA-A8-A07B-01A-11R-A010-13;0.1946902655
Actinomycetales;TCGA-A2-A0SV-01A-11R-A085-13;0.1388888889
Actinomycetales;TCGA-BH-A1EW-01A-11R-A136-13;0.1824817518
Actinomycetales;TCGA-D8-A1JF-01A-11R-A13P-13;0.124260355
Actinomycetales;TCGA-A2-A0D1-01A-11R-A035-13;0.0507462687
Actinomycetales;TCGA-AC-A5XS-01A-11R-A29V-13;0.1075862069
Actinomycetales;TCGA-C8-A8HP-01A-11R-A36A-13;0.125
Actinomycetales;TCGA-BH-A0HL-01A-11R-A10V-13;0.1149425287
Actinomycetales;TCGA-E2-A14R-01A-11R-A114-13;0.1224489796
Actinomycetales;TCGA-BH-A0C0-01A-21R-A057-13;0.2926315789
Actinomycetales;TCGA-D8-A27G-01A-11R-A16E-13;0.0656934307
Actinomycetales;TCGA-D8-A27L-01A-11R-A16E-13;0.1055900621
Actinomycetales;TCGA-AC-A8OQ-01A-11R-A41G-13;0.1497005988
Actinomycetales;TCGA-A7-A56D-01A-11R-A27U-13;0.2004310345
Actinomycetales;TCGA-A8-A085-01A-11R-A010-13;0.2397408207
Actinomycetales;TCGA-OL-A5RV-01A-12R-A28I-13;0.1273209549
Actinomycetales;TCGA-BH-A0BT-01A-11R-A12O-13;0.15625
Actinomycetales;TCGA-AO-A03M-01B-11R-A10I-13;0.1496598639
Actinomycetales;TCGA-AN-A0XL-01A-11R-A10I-13;0.0987654321
Actinomycetales;TCGA-A8-A081-01A-11R-A010-13;0.137987013
Actinomycetales;TCGA-AR-A255-01A-11R-A168-13;0.1130536131
Actinomycetales;TCGA-BH-A0E9-01B-11R-A114-13;0.1477987421
Actinomycetales;TCGA-AQ-A7U7-01A-22R-A358-13;0.1287128713
Actinomycetales;TCGA-B6-A0IE-01A-11R-A035-13;0.1021505376
Actinomycetales;TCGA-D8-A142-01A-11R-A114-13;0.0805369128
Actinomycetales;TCGA-AR-A24U-01A-11R-A168-13;0.1255060729
Actinomycetales;TCGA-D8-A27P-01A-11R-A16E-13;0.1114701131
Actinomycetales;TCGA-AN-A041-01A-11R-A035-13;0.1662468514
Actinomycetales;TCGA-OL-A66J-01A-11R-A29V-13;0.1450151057
Actinomycetales;TCGA-A8-A08S-01A-11R-A035-13;0.2782258065
Actinomycetales;TCGA-BH-A8FZ-01A-11R-A358-13;0.131147541
Actinomycetales;TCGA-BH-A0BA-01A-11R-A057-13;0.2052401747
Actinomycetales;TCGA-E9-A1N3-01A-12R-A156-13;0.1142355009
Actinomycetales;TCGA-E9-A1QZ-01A-21R-A168-13;0.1588486141
Actinomycetales;TCGA-B6-A0IJ-01A-11R-A035-13;0.1135135135
Actinomycetales;TCGA-BH-A18P-01A-11R-A12C-13;0.0607734807
Actinomycetales;TCGA-A8-A06O-01A-11R-A010-13;0.3098827471
Actinomycetales;TCGA-E2-A1IL-01A-11R-A14C-13;0.2061068702
Actinomycetales;TCGA-A8-A06Q-01A-11R-A035-13;0.1243243243
Actinomycetales;TCGA-D8-A1XY-01A-11R-A14L-13;0.0669456067
Actinomycetales;TCGA-B6-A0I8-01A-11R-A035-13;0.0666666667
Actinomycetales;TCGA-C8-A12W-01A-11R-A114-13;0.0615384615
Actinomycetales;TCGA-AN-A046-01A-21R-A035-13;0.0698689956
Actinomycetales;TCGA-AC-A8OR-01A-21R-A41G-13;0.2469135802
Actinomycetales;TCGA-AN-A04C-01A-21R-A035-13;0.0624370594
Actinomycetales;TCGA-B6-A0I6-01A-11R-A035-13;0.0926829268
Actinomycetales;TCGA-OL-A97C-01A-32R-A41G-13;0.1184834123
Actinomycetales;TCGA-A8-A09Q-01A-11R-A010-13;0.1146788991
Actinomycetales;TCGA-BH-A0W4-01A-11R-A108-13;0.1735849057
Actinomycetales;TCGA-E9-A22D-01A-11R-A156-13;0.0794044665
Actinomycetales;TCGA-E2-A1LA-01A-11R-A143-13;0.1338582677
Actinomycetales;TCGA-C8-A1HN-01A-11R-A136-13;0.1419354839
Actinomycetales;TCGA-E2-A14V-01A-11R-A12C-13;0.1916666667
Actinomycetales;TCGA-A2-A1FX-01A-11R-A13P-13;0.1038251366
Actinomycetales;TCGA-EW-A1P3-01A-11R-A143-13;0.1351351351
Actinomycetales;TCGA-LL-A441-01A-11R-A24J-13;0.1827956989
Actinomycetales;TCGA-A1-A0SO-01A-22R-A085-13;0.1297709924
